"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AOC1",-1.91640336138824,9.4167144953829,-7.20032809884072,1.85237715649084e-12,1.9232139311341e-11,17.4567972250344
"NEURL1B",-1.16510389602575,8.20662191831794,-7.18217863745762,2.09305545078026e-12,2.16154257210352e-11,17.3372400569997
"P2RY14",-1.67427115247109,5.52181757480171,-7.17978391234093,2.12702477723007e-12,2.19344297370052e-11,17.3214839867085
"ARFIP1",-1.16285222732947,6.80998763142051,-7.1396686199153,2.78366870404924e-12,2.83096854828273e-11,17.0582006270348
"CAPN9",-1.82823820986982,5.25417571145299,-7.1181846922538,3.21349731157845e-12,3.24493369832215e-11,16.9177069705397
"KRT19",-1.31403789839576,11.3215379455692,-7.11719872430138,3.23471658308024e-12,3.26327616764284e-11,16.9112677884797
"HPSE",-1.66127743096066,6.11148319048034,-7.1152662664829,3.2767058229664e-12,3.30407613588122e-11,16.898649422189
"GK",-1.4693994668992,6.01215687261367,-7.10204504185197,3.57870786923922e-12,3.5899648376542e-11,16.8123960565834
"TRIM31",-2.32261207032556,7.11998835918119,-7.07631295796689,4.24699865018139e-12,4.21484533945312e-11,16.6449104587276
"TCEA3",-1.84349117238795,8.1834481979829,-7.06939313344488,4.44672887802236e-12,4.39876184892147e-11,16.5999578296756
"TRPM4",-1.41802373115121,7.5447246045641,-7.06363534507365,4.6199318647115e-12,4.56375793588953e-11,16.5625822565281
"ZNF655",-1.32045501026224,3.82337830761539,-7.05646216966815,4.8450093338842e-12,4.77285912573092e-11,16.5160548552076
"OCLN",-1.24632205528397,6.72216012701538,-7.04801322967857,5.12396554201538e-12,5.03142333346703e-11,16.4613035441467
"MAP2K6",-1.33834893873917,8.05388344872821,-7.02067654174888,6.13911257120086e-12,5.98423441190004e-11,16.2845337836065
"FGFR2",-1.9001735970651,6.68945087762906,-7.01662872429603,6.30533653499231e-12,6.13506947828692e-11,16.2584082741946
"KRT8",-1.01986160291723,11.4658423214735,-7.00713194584753,6.71287615831356e-12,6.5019956878824e-11,16.1971638982542
"IL18",-1.55709931379523,6.41058399202393,-7.00200048935245,6.943742296352e-12,6.71951728469897e-11,16.1641004757337
"FGFBP1",-1.84328889111968,6.81771893364274,-6.99163611468692,7.43408194417931e-12,7.16481862432473e-11,16.0973822942899
"PID1",-1.77217509802631,6.16048479719658,-6.97527991346382,8.27790894879902e-12,7.92091717460764e-11,15.9922631240786
"TMEM45B",-1.27763318936033,9.52679776170256,-6.97271349476095,8.41858624315942e-12,8.05192176623041e-11,15.9757879846016
"XK",-1.65266088494429,7.72944971218119,-6.95943327292797,9.18490860634625e-12,8.74961846597416e-11,15.8906174825933
"SCYL2",-1.32717590844913,5.87119427206325,-6.94830644921976,9.87939740893462e-12,9.38608645783486e-11,15.8193632723821
"MIR29B2CHG",-1.24611724176502,4.89668436115556,-6.91691122165307,1.21290831266266e-11,1.14168334434639e-10,15.6188347039248
"GK3",-1.08217236334508,5.70957022554359,-6.91078985924747,1.26229791221155e-11,1.18608265128514e-10,15.5798258609738
"NMT2",-1.05347694115092,5.85213253514017,-6.90755082121123,1.28922532123347e-11,1.21063048912465e-10,15.5591967021865
"SLC26A3",-4.70814120883513,8.08168202072308,-6.90336489391149,1.32486144938589e-11,1.23941832701525e-10,15.5325490426098
"CR2",-1.34924747862024,3.79505400709744,-6.90283097493312,1.32947586090256e-11,1.2431908411337e-10,15.5291510943315
"DEFB1",-1.84531906589168,5.31880789443419,-6.90041052244302,1.35059340751612e-11,1.26128187667819e-10,15.5137497341731
"AKR7A3",-1.07972761968132,8.04854908969743,-6.89367173755741,1.41113714415744e-11,1.31475869384402e-10,15.4708949433177
"HK2",-1.22280640818746,9.02081106621025,-6.89362689093025,1.41154885743351e-11,1.31475869384402e-10,15.4706098636841
"SIDT1",-1.58648926083179,5.9018309828547,-6.88965698255379,1.44846569139749e-11,1.34738208219809e-10,15.44538031508
"PPP1R36",-1.28600655983446,6.12059353800855,-6.87345838230406,1.60917732376949e-11,1.48523938993446e-10,15.342563002219
"DQX1",-1.26496126955392,5.51298590498803,-6.86924138568796,1.65380983972281e-11,1.52380307491811e-10,15.3158302197014
"PROM2",-2.06946457038925,5.92887519924103,-6.8597719382785,1.75850972891255e-11,1.61470036002039e-10,15.2558514387719
"CDH1",-1.50548693461817,7.54188619175898,-6.85757422100823,1.78372420209212e-11,1.63504225766204e-10,15.2419413204417
"GHR",-2.02426043219993,4.34173883862906,-6.84222083052983,1.97004933955703e-11,1.79735457892037e-10,15.1448701584042
"KRT20",-2.87327701741946,10.2569496287333,-6.83558811974442,2.05633298846814e-11,1.87207784254788e-10,15.1029924099007
"KLRB1",-1.48184876396002,5.97887617359145,-6.82545790085445,2.19532109612199e-11,1.99266889808151e-10,15.0390987774676
"ITLN1",-4.13284121860241,7.57297980469231,-6.81231341288421,2.38948001905406e-11,2.15881689501599e-10,14.9563138038219
"OASL",-1.49786326868913,5.9020066196547,-6.81112042612018,2.40791403775705e-11,2.17455195455431e-10,14.9488070159217
"RDH13",-1.17498082092495,5.49780848769573,-6.7947994355737,2.67456899536629e-11,2.40418661018054e-10,14.8462208856692
"RAPGEFL1",-1.07632541270652,7.0730834763265,-6.78987875033641,2.76050362366043e-11,2.48039028287437e-10,14.8153329460106
"NIPSNAP3A",-1.12446060011028,7.79965731535213,-6.78070770078885,2.92795722236224e-11,2.6242307873412e-10,14.7578157456614
"PRKCB",-1.24561894396252,3.88497270097948,-6.76613661430406,3.21471814815228e-11,2.86442379781358e-10,14.6665681648365
"INTS6L",-1.09458426960489,5.34189853776239,-6.76501192698642,3.23796402549409e-11,2.8839340280422e-10,14.6595320776579
"CILP",-1.48559309712311,5.42272758467009,-6.7586519138883,3.37255416921518e-11,2.99886760780405e-10,14.6197623958586
"SYNC",-1.52129193596131,4.52643452219316,-6.75828097363443,3.38057117097916e-11,3.00468653121097e-10,14.6174438626393
"CLRN3",-1.51448413308405,9.97311236257437,-6.7463815235015,3.64790895910307e-11,3.23556956119366e-10,14.5431249898927
"HSPB3",-1.19316043308973,4.04495496215726,-6.743803889023,3.70849584660462e-11,3.28521686378113e-10,14.5270409436356
"IVNS1ABP",-1.05774498556733,8.21729810754872,-6.72612959540691,4.15135435633465e-11,3.66234469578045e-10,14.4168976825534
"GLS",-1.02434063532583,6.60585025859658,-6.72244192264118,4.25009424013203e-11,3.74172903291723e-10,14.3939479073653
"RSAD2",-1.93738514216273,5.47544304031282,-6.71694404744428,4.4015950958159e-11,3.86396394463017e-10,14.3597525676976
"HAPLN1",-1.05351878478093,3.33133935163931,-6.71344753650303,4.50068845390578e-11,3.94285404651926e-10,14.338017650365
"MCL1",-1.38376587675674,6.55724526001197,-6.70475080682395,4.75674727129814e-11,4.15694965013609e-10,14.2839993110726
"NEO1",-1.08666476769081,7.4689257579265,-6.70085161357879,4.8761404571914e-11,4.25085651361928e-10,14.2597995759545
"MPZL2",-1.07170167073656,5.29993704648033,-6.69117729348884,5.18520613544297e-11,4.50375201203292e-10,14.1998095183736
"GMFB",-1.19136501988617,7.86764190584786,-6.69095900661921,5.19239686719227e-11,4.50633403173425e-10,14.1984567876196
"EYA2",-1.22715056835355,4.30153496342565,-6.68955720726524,5.23880808509579e-11,4.54476704645724e-10,14.1897706935206
"SH3KBP1",-1.05419292752391,8.80878890749914,-6.6753807728973,5.73163034700007e-11,4.9441964321498e-10,14.1020156972863
"CAMK2N1",-1.21004287033875,9.93660570364615,-6.67280889667226,5.82578623445522e-11,5.0173145695931e-10,14.0861123768317
"BCHE",-1.77707333073257,3.24300922070598,-6.66872196355905,5.97853697603003e-11,5.14057945942993e-10,14.0608514464422
"PELI2",-1.39259324311865,6.24425898922735,-6.66850170888295,5.98687968501028e-11,5.14568214922022e-10,14.0594904511638
"ARPC4",-1.02032652013772,8.1781020871812,-6.64648924628297,6.88086846452604e-11,5.86920225475161e-10,13.9236659579632
"A1CF",-1.604518511207,7.71153246103419,-6.64029072905645,7.15539920184055e-11,6.08878593172947e-10,13.8854885701991
"AIFM3",-1.2231178075239,6.58433483559316,-6.62183277643191,8.03806665794828e-11,6.8046501695872e-10,13.7719852347521
"RETNLB",-2.92108326702557,6.83400408647522,-6.6188927144572,8.18818496651112e-11,6.92624497939205e-10,13.7539310187081
"ZFP3",-1.21869412369777,5.59540624611282,-6.59769774099916,9.35476865743248e-11,7.84163757957473e-10,13.6239819105631
"CASP1",-1.77661347999786,6.68643925832821,-6.55312945595097,1.2364374121799e-10,1.02280132350166e-09,13.3518994896857
"ADGRG7",-2.06899831988571,4.77880825956581,-6.55165307276624,1.24788191203662e-10,1.03146974137278e-09,13.3429136119918
"MB",-1.44874581967678,5.50628504509231,-6.54940983261832,1.26546981424465e-10,1.04560299771715e-09,13.329263669704
"ANK2",-1.58990989996001,4.12729708551282,-6.54930866110479,1.26626873797735e-10,1.04585868281261e-09,13.3286481439439
"IGHV3-72",-1.64042495800252,3.91276200321197,-6.48292055366978,1.91264349996233e-10,1.54742346322208e-09,12.9265156382206
"SLC22A18",-1.0621819900266,9.00219479318975,-6.47547739532673,2.00272462477706e-10,1.61480064368345e-09,12.8816511312403
"AMN",-1.27299089379151,6.38564521959658,-6.47484266009375,2.01059605175923e-10,1.62053586714219e-09,12.8778272549894
"CAVIN2",-1.08992117489604,4.76946028958462,-6.47102530177252,2.05857864254896e-10,1.65546292267006e-09,12.8548369430208
"DDX60",-1.61355016895016,7.38192885202564,-6.46700019048309,2.11038721770627e-10,1.69393853045567e-09,12.8306081403396
"CDS1",-1.23983947427824,8.52908691497094,-6.46408336986834,2.14872641080064e-10,1.72277062737626e-09,12.8130587544301
"AKAP7",-1.72842931264303,6.59713860203077,-6.45743814728083,2.2386375349619e-10,1.78881706093983e-09,12.7731026209294
"PKP2",-1.16929898317016,8.4772085471829,-6.4314416147961,2.62714387543268e-10,2.08754864954891e-09,12.6171339743161
"HMGCS2",-3.09667043361771,8.6808257941453,-6.37793760582192,3.64581871869103e-10,2.84307330519238e-09,12.2978505853633
"NECTIN3",-1.63677522076911,6.24980260149744,-6.37126885957296,3.79720400217625e-10,2.94928600198109e-09,12.2582175298567
"ST3GAL4",-1.23725026050066,6.32466717515214,-6.34255989336856,4.52224302744483e-10,3.47828534079963e-09,12.0880091419996
"SMIM31",-2.16775121741148,6.61883891121026,-6.3412000161373,4.55975595490155e-10,3.50335510565916e-09,12.079963364802
"SCUBE2",-1.03058596855189,4.53854185651623,-6.32137994793346,5.14232738615469e-10,3.92695172480226e-09,11.9628676060965
"TPK1",-1.22622875321341,6.32099162284957,-6.3157719516839,5.3199805305508e-10,4.05681741599854e-09,11.9297938907544
"TP53INP1",-1.12581024980119,7.82856147917437,-6.31454076961426,5.35977901936783e-10,4.08425100951613e-09,11.9225362980035
"PRKAR2B",-1.72392356539306,5.69405131914017,-6.31062142891252,5.48842274568525e-10,4.17632225096356e-09,11.8994407176459
"ZC3H12D",-1.13076132098241,5.11722273011966,-6.29724360859093,5.95068246297078e-10,4.50880255979775e-09,11.8207031638761
"ST6GALNAC1",-2.57603714458406,8.92254052119145,-6.29118733839226,6.17227536921775e-10,4.66017695456098e-09,11.7851058431607
"H2BC5",-1.40974560933065,8.44517659041368,-6.28833502053975,6.27941527060061e-10,4.73270779848054e-09,11.7683509498027
"RASSF6",-1.60784347442897,7.30311006491281,-6.27968523399615,6.61556617089714e-10,4.97028137741066e-09,11.7175815150975
"PGGT1B",-1.13671933575831,5.65820590772649,-6.26364754318415,7.28601862604185e-10,5.43576675917026e-09,11.6236106926193
"C7",-1.80972284068151,5.05400152266496,-6.26241263475716,7.34031503107664e-10,5.47436339507904e-09,11.6163836080769
"FGL2",-1.47808021410787,6.20545309967692,-6.25477172368369,7.68517688537034e-10,5.70566971889187e-09,11.571694212138
"MTUS1",-1.16206204859681,7.24755007464957,-6.23185067163408,8.81750739417267e-10,6.48326498593556e-09,11.4379220953735
"OPTN",-1.01912318808127,7.29117450039488,-6.22643709668628,9.1078851213912e-10,6.68297326197685e-09,11.4063900501363
"P3H2",-1.46392872937444,6.04323243406496,-6.21615978547903,9.68509358425311e-10,7.08460782659145e-09,11.3465945604088
"NAPEPLD",-1.05277257519388,7.03194037967521,-6.20866974168332,1.01281369394355e-09,7.38845687896616e-09,11.3030704495429
"CMBL",-1.78746056610926,9.26631120247692,-6.19870610346981,1.07483185983655e-09,7.8141995063381e-09,11.2452437040337
"OR7E14P",-1.17403533471463,5.61501260107009,-6.19672602354614,1.08759163587506e-09,7.89890227183634e-09,11.2337614524409
"GPR15LG",-2.85056913784674,8.84437342322052,-6.19031306776566,1.12994187648121e-09,8.19533878980784e-09,11.1965955416405
"ABCB1",-2.37716601592187,6.35796519350256,-6.1840996442835,1.17250997917761e-09,8.48392168137081e-09,11.1606181854279
"GBP3",-1.96128880090655,8.54752153571624,-6.17853790196697,1.21194010905045e-09,8.7455333705103e-09,11.1284411050769
"DPT",-1.20307022364153,5.5273346764718,-6.14450052033049,1.48305467866606e-09,1.05698563439152e-08,10.9320737047277
"SLC28A2",-2.20900891918655,5.00942318074701,-6.14248220132894,1.5008712747648e-09,1.06897055092998e-08,10.9204595941576
"MAN2A1",-1.035870072244,8.11050428060171,-6.13866697005801,1.53512311141219e-09,1.09154660637418e-08,10.8985145803838
"SUGCT",-1.12809060412433,5.57172139416753,-6.13312634517211,1.58622861983375e-09,1.12489037238592e-08,10.8666665214667
"APOBEC3B",-1.55791590084219,6.76513533071282,-6.12847438364948,1.6304178971047e-09,1.15431210097535e-08,10.8399461035579
"FAS",-1.34758112497155,7.24315465664787,-6.11728263159635,1.74171460588622e-09,1.2262015151226e-08,10.7757347770003
"GALNT7",-1.10185080544161,9.63870993117777,-6.11665787387778,1.74814158709906e-09,1.22991574881612e-08,10.7721533459998
"CHD9NB",-1.36275126383019,5.84390085515385,-6.115003167077,1.76527596568438e-09,1.24115339120692e-08,10.7626692738621
"UPP1",-1.02449542546662,6.45386053940684,-6.1098702334075,1.81947756712401e-09,1.27716087965633e-08,10.7332638497411
"TRDC",-1.21166398729607,4.72944119514017,-6.09345090498406,2.00400414746784e-09,1.39841791701324e-08,10.6393471062878
"FAM3D",-1.90351991591484,9.43302279890258,-6.09036937251527,2.04061722760913e-09,1.42210920751221e-08,10.6217458698033
"TTC39B",-1.01737507571321,5.45429203404273,-6.07420118826862,2.24368798576554e-09,1.55652211661858e-08,10.5295241838856
"YTHDF3",-1.21881267378184,7.11538039147863,-6.05286852012814,2.54205035636954e-09,1.7521287085338e-08,10.4081753245289
"CLYBL",-1.04948950141835,6.70474561344102,-6.04392140291462,2.67841497212747e-09,1.83959153678713e-08,10.357392533501
"TENT5C",-1.1196052265132,6.02276029279145,-6.04157488285313,2.71534493572178e-09,1.86256100293956e-08,10.3440849266262
"LINC00526",-1.13092862818467,6.29809589045811,-6.03714348321269,2.78644786500405e-09,1.90765881228906e-08,10.3189659642774
"ADGRL3",-1.00737849930166,3.87044554605983,-6.03377415950795,2.84172282876125e-09,1.94301093382853e-08,10.2998781594391
"SPON1",-1.92658427213017,7.6102071919624,-6.0317019579569,2.87624814751247e-09,1.96473127135227e-08,10.2881434468523
"SCARB2",-1.02825342912469,8.32586077919999,-6.0219893034527,3.04360677761989e-09,2.0744097613207e-08,10.2331888729719
"SRPX",-1.7851466107096,6.24370000082223,-6.01638748379875,3.14441513791475e-09,2.13834240139479e-08,10.2015291120255
"MBNL1-AS1",-1.24707013838942,3.60616454020513,-6.01252049009164,3.21589807911747e-09,2.18486786189198e-08,10.1796892329572
"ECRG4",-1.11873100095769,3.47627532880171,-6.01056515266886,3.25264463815081e-09,2.20702629353345e-08,10.168650663679
"PRIMA1",-1.02556664394858,4.56073614068889,-6.00995523893421,3.26419034417941e-09,2.21415730425656e-08,10.1652081344158
"PCSK5",-1.23592537282629,5.19651887270769,-5.97069792042507,4.09779420210246e-09,2.74045598486145e-08,9.9442780959689
"ATL1",-1.01967336488571,5.70199828700171,-5.95874405943117,4.39055667849842e-09,2.9261704475819e-08,9.87725921214795
"TRDV3",-1.11711272528231,3.76791197441197,-5.94034518794104,4.88145310601022e-09,3.23116507175094e-08,9.77433897544563
"FRYL",-1.06746759365799,7.36021444789401,-5.92154866534346,5.43814139965571e-09,3.57198792764966e-08,9.66948553158181
"SGPP1",-1.22240158804463,5.81468898655898,-5.90502761472282,5.9782123744976e-09,3.91229598180368e-08,9.57756872732843
"JCHAIN",-2.83803407064153,9.74134799437436,-5.87938131191036,6.92172416004728e-09,4.4939677948262e-08,9.43533395417193
"SLC39A5",-1.0811989726231,7.74287995502393,-5.85683098830852,7.87014215147092e-09,5.0834742246215e-08,9.31072381422569
"PGAP4",-1.1298234631511,5.78608529124274,-5.83436446813924,8.94056420135434e-09,5.71612912299037e-08,9.18700009206872
"PYROXD1",-1.02133450962758,7.92117003049573,-5.79554338526186,1.11337645452847e-08,7.01755595985539e-08,8.97420889440515
"NR3C1",-1.1881314913714,7.78992826462051,-5.7863718298705,1.17239365052999e-08,7.36997208910689e-08,8.92412136737344
"PLEKHH1",-1.09883333920448,7.6730770002906,-5.77953477771247,1.21836058433316e-08,7.64543630115908e-08,8.88682898797062
"MUC2",-3.08576051220749,8.91171158728035,-5.76723457374685,1.30551695732326e-08,8.15881276020069e-08,8.81983709325405
"MUC12",-2.56783947301426,8.33900246223077,-5.74205329678028,1.50329896195602e-08,9.32394453414059e-08,8.68308690743438
"TPD52",-1.05228263758275,9.65758334525641,-5.73575322471766,1.55717489848819e-08,9.64410320463683e-08,8.64895709893699
"FDCSP",-1.74806572650605,4.99527278066838,-5.68401127864233,2.0768028532963e-08,1.26641114630086e-07,8.36991908486459
"NCEH1",-1.04625243684051,7.02944715185129,-5.682664120453,2.09237033462404e-08,1.27517618197124e-07,8.36268423569081
"HMGN2P46",-1.00443516091138,5.23898735231794,-5.667351851735,2.27749456289779e-08,1.37895229032125e-07,8.28055831995077
"EXPH5",-1.19646930991055,6.5053027582359,-5.66665858379702,2.28624281115549e-08,1.38385694464474e-07,8.27684473735644
"MATN2",-1.83855485639903,7.22363360886325,-5.66633072275376,2.29039142328992e-08,1.38597546138305e-07,8.2750886474486
"ADH6",-1.0968901538581,4.08160113389743,-5.62876769719114,2.8174938663059e-08,1.68207296567081e-07,8.07449635007946
"TNFRSF11A",-1.21171062335737,5.98354817733333,-5.62060143606721,2.9468108131922e-08,1.75486361888177e-07,8.03104557881034
"NEAT1",-1.44539649987242,5.98492992488547,-5.61416178141359,3.05284014389448e-08,1.81295262241782e-07,7.99682159118793
"BHLHE41",-1.51706835662823,7.17574913307692,-5.61170287303218,3.09429747832005e-08,1.83655150609068e-07,7.98376284158688
"RIMS3",-1.07521400676883,5.25947909400343,-5.60476785042152,3.2141942144265e-08,1.90506762218172e-07,7.94696004535602
