"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ITPRIP",1.17633852381151,6.70706811580513,8.48178718923666,1.8137328094276e-16,3.07327747335762e-15,26.5163428460072
"PLS3",1.50154829909104,9.73213118936752,8.47710085003981,1.87997107624857e-16,3.18047046604934e-15,26.4810653176679
"PNPT1",1.11741325276799,8.79231854782565,8.47539901612241,1.90461247008309e-16,3.21706360855853e-15,26.4682581251247
"ZDHHC9",1.38810041835243,8.50585107738974,8.46254467958895,2.10133765560405e-16,3.53537651081038e-15,26.3715873436672
"PCNA",1.18072595599014,10.5523110457128,8.42891522565935,2.71610966342205e-16,4.50583192378407e-15,26.1192201638925
"FOXP4-AS1",1.82260824896123,6.01393754075384,8.42393967983501,2.8210334643942e-16,4.66540418217577e-15,26.081948679925
"WNT2",1.59892768002929,6.51245684444445,8.42212742845307,2.86023688889291e-16,4.72292748106451e-15,26.0683775047048
"PMAIP1",1.98491611438869,7.30096450240854,8.41161565733486,3.0984816530255e-16,5.08879765412727e-15,25.989704441607
"NEK2",1.57527650748773,7.60383798401197,8.4067808315885,3.21454510503579e-16,5.27131122481195e-15,25.9535450802292
"TBC1D24",1.03955504726474,4.67392449115385,8.40332594155925,3.30010375016508e-16,5.40746294706882e-15,25.9277161515848
"TEX30",1.38609225660034,6.3098711515641,8.39516955434971,3.51112206700501e-16,5.73563801266789e-15,25.8667716119273
"PJA1",1.14091335047915,8.14356779613163,8.3812172134113,3.90343116616338e-16,6.33292435287873e-15,25.7626273044636
"SPON2",1.83298983099312,7.85389553146154,8.36412972140135,4.443288328386e-16,7.17067535593834e-15,25.635266553168
"AURKB",1.43853052474986,6.74043907563248,8.34460482137903,5.15086808558485e-16,8.26265753638824e-15,25.4899887093949
"DPCD",1.09378301104659,7.37845325946154,8.33781998188344,5.42193924862222e-16,8.68445096891387e-15,25.439567634205
"PITX1",1.37826749247657,6.60416287681538,8.33587990010354,5.50200884397229e-16,8.80609909881319e-15,25.4251559795887
"FJX1",1.34929615681904,5.73529156973162,8.33097679421403,5.70961012469172e-16,9.11107091368842e-15,25.3887456337007
"VMA21",1.04546848254445,8.71613938572137,8.3284849095075,5.81806528864492e-16,9.27720903152806e-15,25.3702474197266
"POLA1",1.18679200215854,7.11878883857607,8.32634606766601,5.9127761642247e-16,9.42119972416026e-15,25.3543734520062
"ECT2",1.610293375109,8.4775135998171,8.3049428987923,6.94852646261262e-16,1.10058684156148e-14,25.1957011608857
"PLK1",1.26499494887279,7.16788132884102,8.30016704293606,7.20304611468076e-16,1.14005545431395e-14,25.1603392954779
"TRIM59",1.37992496846012,5.56886667566667,8.29699096479908,7.37738509150388e-16,1.16678450962371e-14,25.1368315419816
"ANXA9",1.10982220446689,5.12033254528719,8.29066195630242,7.73731422677478e-16,1.22190090970803e-14,25.0900085211262
"ASPM",1.74299808177552,7.64115827640341,8.27907203505731,8.44195947219679e-16,1.33121290068213e-14,25.0043375077292
"SHCBP1",1.44955071647387,5.95647831354701,8.27490888489916,8.71024497098929e-16,1.36846914922888e-14,24.9735872001297
"MYBL2",1.3063747863581,7.30495579521368,8.27135841094594,8.94568882455321e-16,1.40031159790644e-14,24.9473719562924
"PFAS",1.08249887364413,6.90935895546324,8.25491464935129,1.01207343489966e-15,1.57657952220801e-14,24.8260738751083
"GCSH",1.13662965112665,8.99927470084444,8.25487951979573,1.01234010599026e-15,1.57657952220801e-14,24.8258149447058
