"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"VILL",-1.9493411447745,7.264070265,-9.79096822340961,4.58499921299792e-21,1.32210092016365e-19,36.9448424498922
"SLC22A4",-1.33237888830751,4.97165338966496,-9.7864717284615,4.76358476990562e-21,1.36989927023652e-19,36.9071460857396
"UGT2A3",-3.50964936203413,4.2507093661453,-9.7650781515994,5.7123574284205e-21,1.63176391942595e-19,36.7279633031584
"GHITM",-1.00662324615454,9.34140601193333,-9.76369647048874,5.77970531722121e-21,1.64879791072184e-19,36.7164006581415
"MT1F",-2.29580273633978,8.52170419239829,-9.71871313194891,8.45970619704364e-21,2.37840187252936e-19,36.3405991923174
"HSD11B2",-2.56370120736574,7.95706048093334,-9.71700540819476,8.58273610833351e-21,2.40982026842e-19,36.326357088863
"ADH1C",-4.4708222972031,6.3504998983282,-9.70222173660742,9.72470866702107e-21,2.71618104690509e-19,36.2031394207066
"UGT1A10",-3.50859768117362,6.44919529211282,-9.66804861405436,1.29735092521952e-20,3.57222902308834e-19,35.918834804573
"HAGLR",-2.43296958388421,5.96689194869402,-9.65800439319396,1.41186016626974e-20,3.86759181701098e-19,35.8354094474134
"DENND2A",-1.37501556151321,5.85777049319317,-9.64619720966103,1.55933374545153e-20,4.24436740625004e-19,35.7374215329126
"RHOU",-1.68627011049098,8.12216801521367,-9.64166214652868,1.61995077129231e-20,4.39257463581253e-19,35.6998080838544
"ABHD17B",-1.2776354551644,6.1591649489624,-9.62039079705525,1.93693315333983e-20,5.21897234393597e-19,35.5235563589654
"ANKRD40CL",-2.56652855115508,6.4464139554564,-9.61261918226983,2.0674772236046e-20,5.54275857424836e-19,35.459232180943
"KCTD9",-1.68381565452483,7.1779657120171,-9.60000924380452,2.29809084343502e-20,6.1073764989647e-19,35.3549424377571
"FRMD3",-2.26551146813603,6.17659072221368,-9.58568745110364,2.59105497226538e-20,6.85186529608841e-19,35.2366155818606
"CASD1",-1.52204854322401,6.70377971607863,-9.57754213103209,2.77388573102774e-20,7.28127965784641e-19,35.1693761504368
"FAM162A",-1.01744090089734,10.8437393687179,-9.56837372448807,2.99501189523187e-20,7.84245332909551e-19,35.0937409338331
"CAPN5",-1.47029419751804,6.85444762930598,-9.55344109702032,3.39314372818287e-20,8.83085286724522e-19,34.9706664509111
"MT1G",-2.33407062838153,9.44090137900002,-9.54832190398903,3.54136350563723e-20,9.17191685150917e-19,34.9285063891171
"SULT1A3",-1.71892397843583,8.59346239229744,-9.54697704425501,3.58135513422054e-20,9.264263335701e-19,34.9174332807024
"LRRC75A",-1.54039320217194,6.58644911693505,-9.53875008707417,3.83592657312057e-20,9.89882162896946e-19,34.8497201368367
"CIDEB",-1.20123465462293,6.21669610935043,-9.5324840210915,4.04177988715809e-20,1.03918580359081e-18,34.7981749642742
"ACSF2",-1.40929857296652,7.10064069117437,-9.51842235261546,4.54444050771257e-20,1.16010824764987e-18,34.6825925549106
"SEC23A",-1.07643490478231,6.78639492292991,-9.50952425957415,4.89403163705226e-20,1.24786126478396e-18,34.6095174866035
"ABCA5",-1.95284901776586,6.6910822704,-9.50926085734267,4.90477658290776e-20,1.2491103843503e-18,34.6073550725098
"RHBDL2",-2.53673517505906,4.69062589028205,-9.50614754261269,5.03356279326048e-20,1.28038257385234e-18,34.5817994738957
"PTPRR",-2.67856734372866,4.85290030149231,-9.50253950354341,5.18701086230559e-20,1.31628101062807e-18,34.5521905932362
"SLC46A3",-1.65492129528333,7.32739658840513,-9.47576298897254,6.48027890437778e-20,1.61757148773178e-18,34.3327098843112
"LPAR1",-1.96702516702446,6.06582748224102,-9.46087050380122,7.33295128927495e-20,1.821897327883e-18,34.2108361183297
"TINAG",-1.77427437515073,4.09607524661709,-9.44388765292701,8.44161966656424e-20,2.09248361270856e-18,34.0720273217203
"KAT2B",-1.79294314634545,5.98840353952821,-9.43671777756543,8.95813187205609e-20,2.21556439435177e-18,34.0134795443962
"CLMN",-1.63366965533094,6.7147756394171,-9.43457108551919,9.11878270433134e-20,2.24989642082503e-18,33.9959564379249
"SECTM1",-2.09791038937372,7.15893378850427,-9.4217471223289,1.01397009300205e-19,2.49602522778512e-18,33.8913374995128
"GINM1",-1.01055780941584,7.75339441343248,-9.40773266315294,1.13852002165902e-19,2.78976574573261e-18,33.7771260898688
"HNF4G",-1.63182815683903,4.98119514866154,-9.39403563790178,1.27486646770984e-19,3.09898427935793e-18,33.6656225617061
"ATP8B1",-1.24447870301655,8.2861878325641,-9.3886740175717,1.33253934960687e-19,3.23182386867763e-18,33.6220077516449
"TPMT",-1.0301530656883,7.12822121123419,-9.3702371997683,1.55129765260582e-19,3.7538592234687e-18,33.4721711321116
"SUCLG2",-1.22650796816664,9.56398845178463,-9.36627881426815,1.60271549802511e-19,3.86079166249182e-18,33.4400295375436
"ACAP2",-1.20692075090802,5.6561714718547,-9.35811726852255,1.71411979636961e-19,4.11523569539657e-18,33.3737904538484
"RCAN1",-1.49026741732146,8.30868378268377,-9.29907569052805,2.78369610586465e-19,6.57229112640993e-18,32.8958813644788
"CNTN4",-1.35233839864116,4.27998005772136,-9.29891369247895,2.78739355721154e-19,6.57375696875706e-18,32.8945731610186
"STRADB",-1.16877095217983,7.80450719908034,-9.29411178248848,2.89922952069996e-19,6.82997102191797e-18,32.8558033602609
"SLC44A4",-2.52318759048801,7.75146884488547,-9.27479431695966,3.39583238546002e-19,7.92991809618844e-18,32.6999875612493
"VSIG10",-1.0396584141471,5.4089157960735,-9.27207609014954,3.47216110703186e-19,8.06409417108149e-18,32.6780815005876
"STMN2",-2.17287234182779,5.03924615175385,-9.26491994876326,3.68132967456248e-19,8.53134177401047e-18,32.6204333036774
"NHERF1",-1.21319647581941,8.31372584569572,-9.23319735680436,4.76926618890698e-19,1.09811326140491e-17,32.3652821151081
"RARA",-1.90098508332825,4.27915658159316,-9.22746840067631,4.99722850547479e-19,1.14689346376455e-17,32.3192724024422
"XIAP",-1.17113546777329,4.30415751724616,-9.22228717006497,5.21267121458386e-19,1.19377433914269e-17,32.2776798353259
"NEDD4L",-1.34460314321546,7.47526740336582,-9.21744997713831,5.42210004386985e-19,1.23908033836756e-17,32.2388647574776
"EGLN3",-2.11648927566449,6.34568373813846,-9.19984157638999,6.25729138713618e-19,1.41931576506304e-17,32.0976979432201
"C1QTNF12",-1.35416428159886,5.51339468168205,-9.19301935402729,6.61407856110833e-19,1.49706585397459e-17,32.0430582127314
"SORT1",-1.45896362963744,5.02516293094189,-9.19167562957406,6.68669127292881e-19,1.51189981406e-17,32.0322997813508
"EPB41L4B",-1.65144077806545,9.9442837747624,-9.18543716325156,7.03428333882554e-19,1.58713339071473e-17,31.9823673386305
