"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YEATS2",0.0585075597336819,5.68988661451966,0.905984140683786,0.365316912575569,0.45781386926699,-6.90105435799164
"LINC00445",-0.0426417734141743,4.06471055696752,-0.905906883319137,0.365357772193952,0.457838221715334,-6.9011240630227
"LOC101929305",0.0514149091325046,3.91253945419488,0.905789468365659,0.36541987570202,0.457889190952678,-6.90122998866664
"CLK1",0.157575802463453,7.87292456546666,0.905456162713649,0.365596204836025,0.458083276181983,-6.90153060503611
"NXF3",0.220669509085451,3.95529717004273,0.905238243944445,0.365711519476928,0.458200893436351,-6.90172709155804
"LHX3",-0.0528273454169621,4.15346357951966,-0.9051671950559,0.365749120869059,0.45822113547987,-6.90179114261445
"LUC7L3",-0.124942183455086,9.10044345290769,-0.904947532456146,0.365865388791142,0.458339925087965,-6.90198913823275
"SMAD9",0.0846077930967992,4.22222930262735,0.904792103379104,0.365947671729473,0.458408215164421,-6.90212920721627
"SUSD4",0.0528376287127582,4.16456242889402,0.904763512578038,0.365962808736589,0.458408215164421,-6.90215496995289
"RTL6",0.0898765402223292,7.84320325331453,0.904621385618533,0.366038061717248,0.458475600252796,-6.90228302634923
"HARBI1",0.0644949884006824,5.12404326432308,0.903963752651838,0.366386389362314,0.458884993054195,-6.90287529251194
"TRIML1",-0.0397819951404144,3.4645526672906,-0.90383714016666,0.366453475828375,0.4589421146489,-6.90298927077777
"SLC4A8",0.0595220476230237,4.1897913750718,0.903380641717578,0.36669541832478,0.459209277756954,-6.90340008465418
"TMC3-AS1",0.057765573296632,4.8700393209453,0.90335354667385,0.366709781736645,0.459209277756954,-6.9034244616257
"ATG9A",0.0735642611673789,7.42055297524957,0.903220856681884,0.366780127391657,0.459270451358271,-6.90354383013219
"ZNF362",0.0475242560990324,3.20178407851453,0.902854563573843,0.366974361612564,0.459486738035491,-6.9038732582799
"RASAL1",-0.139695974342942,6.04750572134017,-0.902750632770032,0.367029484697095,0.459528829223183,-6.9039667048731
"WDR11-DT",-0.0431776261231174,3.24324470370598,-0.902246138581016,0.367297133118697,0.459836986192488,-6.90442015486333
"LOC100996549",0.0345802979295135,2.92713147666838,0.901564796935447,0.367658797587585,0.460262803377895,-6.90503215785585
"ZNF561-AS1",0.060244959927747,5.11842098054188,0.901407388305875,0.367742383623438,0.460340471666882,-6.90517348179124
"SPDYE2",0.112272439318582,5.47588201560342,0.900938677633255,0.367991345367093,0.460625136289319,-6.90559415185099
"NXPH1",-0.0325721293020268,2.64377418417778,-0.900766896164192,0.368082615659437,0.460712392290738,-6.90574827190117
"PPP2R2C",0.0494762542146174,3.39878161750599,0.900695840904575,0.368120372606848,0.460732661755536,-6.90581201316694
"CNFN",0.09380696649209,5.07488282313505,0.900648097998351,0.368145743323737,0.46073742737646,-6.90585483889395
"TXLNA",-0.0462339177778505,4.59369506832992,-0.900499679650635,0.36822462022753,0.460809151950429,-6.90598795675164
"SMIM14-DT",-0.0289915953281583,2.61942696835727,-0.89999839582627,0.368491105384547,0.461115633894677,-6.90643740135318
